@relation software_metrics_vpm

@attribute Kind string
@attribute Name string
@attribute CountLineCode numeric
@attribute CountDeclClass numeric
@attribute CountDeclFunction numeric
@attribute CountLineCodeDecl numeric
@attribute SumEssential numeric
@attribute SumCyclomaticStrict numeric
@attribute MaxEssential numeric
@attribute MaxCyclomaticStrict numeric
@attribute MaxNesting numeric
@attribute class {pos,neg}

@data
File,"AES.java",833,44,68,235,76,94,5,6,2,pos
File,"AESEngine.java",499,1,16,260,16,35,1,13,3,pos
File,"AMQ4126Test.java",134,1,15,63,17,22,3,3,2,pos
File,"AMQ6599Test.java",77,1,5,43,5,6,1,2,1,pos
File,"AMQChannel.java",2915,18,129,593,133,497,5,33,6,pos
File,"ASN1Enumerated.java",113,1,12,33,17,23,4,5,2,pos
File,"ASN1Integer.java",107,1,14,33,17,23,4,5,2,pos
File,"AUTH.java",202,2,27,80,32,63,5,7,3,pos
File,"AUTH.java",135,1,8,33,13,39,4,13,5,pos
File,"AUTH.java",202,2,27,80,32,63,5,7,3,pos
File,"AUTHTest.java",90,1,10,38,10,10,1,1,0,pos
File,"AbstractAjpProcessor.java",659,3,26,161,49,137,12,37,5,pos
File,"AbstractAjpProcessor.java",1055,3,42,226,104,263,29,63,5,pos
File,"AbstractAnsibleInvocation.java",245,1,27,81,26,52,1,6,3,pos
File,"AbstractAnySearchDAO.java",289,1,18,123,20,66,3,20,3,pos
File,"AbstractAtomProvider.java",76,1,6,41,6,12,1,5,2,pos
File,"AbstractBasicSecurity.java",57,1,2,18,2,2,1,1,0,pos
File,"AbstractBrokerFactory.java",527,3,46,155,59,121,7,11,5,pos
File,"AbstractBuild.java",779,9,79,259,99,215,7,12,5,pos
File,"AbstractCastorDataFormat.java",143,1,25,65,25,33,1,6,2,pos
File,"AbstractConfiguredSecurityBuilder.java",208,2,26,83,29,43,3,5,2,pos
File,"AbstractConstantRestrictor.java",31,1,8,14,8,8,1,1,0,pos
File,"AbstractDBParser.java",98,1,8,38,4,14,1,9,3,pos
File,"AbstractDelegationTokenSecretManager.java",434,3,47,156,47,87,1,8,4,pos
File,"AbstractFramedStreamSourceChannel.java",578,3,49,137,68,141,6,9,4,pos
File,"AbstractHTTPDestination.java",699,6,59,253,72,155,5,9,4,pos
File,"AbstractHandlerMapping.java",226,3,32,96,33,52,3,6,3,pos
