Kind,Name,CountLineCode,CountDeclClass,CountDeclFunction,CountLineCodeDecl,SumEssential,SumCyclomaticStrict,MaxEssential,MaxCyclomaticStrict,MaxNesting
File,"17ce298b98df08e413e81a61f209912ea7fe36ef\Runner.java",444,2,11,104,14,96,4,63,6
File,"17ce298b98df08e413e81a61f209912ea7fe36ef\ShutdownMonitor.java",350,3,29,74,39,58,9,12,5
File,"c3abbe5ecb68e36c3d8bca239ce1edc0b6daa5e9\PluginManagerTest.java",112,1,7,68,7,9,1,3,1
File,"4a7fae30fbecfedf49200f2c2b6c644aea2df7b0\HttpClientTest.java",206,6,20,74,22,25,3,4,2
File,"4a7fae30fbecfedf49200f2c2b6c644aea2df7b0\HttpReceiverOverHTTP2.java",85,1,7,38,11,18,5,7,3
File,"b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba\HttpClient.java",518,3,83,167,82,103,1,8,3
File,"b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba\HttpConnection.java",590,3,28,112,47,135,15,62,9
File,"b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba\HttpDestination.java",577,2,39,117,42,108,4,11,4
File,"b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba\ServletHandler.java",1051,3,64,221,88,242,7,40,5
File,"b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba\SslSelectChannelEndPoint.java",775,1,30,118,81,184,16,29,5
File,"183417af1cdd2ed9ff05fec70c1b50476c3c9f2a\OSGiAppProvider.java",464,3,39,104,61,102,5,10,5
File,"82c49a0dd725a83d4912b2b56ca42aea44d59480\AbstractProxyServlet.java",537,3,38,145,52,120,5,11,4
File,"370604fe76f162a10e10ad326fa97a7083927b92\DefaultPolicyLoader.java",133,5,4,57,4,17,1,9,3
File,"370604fe76f162a10e10ad326fa97a7083927b92\JettyPolicy.java",97,1,4,30,4,20,1,8,4
File,"67cef441b21ffc900ad5fb112cbd43434d281760\HpackTest.java",158,1,6,59,8,9,3,3,2
File,"67cef441b21ffc900ad5fb112cbd43434d281760\Huffman.java",432,1,8,312,10,26,3,11,4
File,"67cef441b21ffc900ad5fb112cbd43434d281760\HuffmanTest.java",58,1,6,29,6,6,1,1,0
File,"1ceb8a0b13814a162d4f505d802d8a12e507b975\BootstrappingTest.java",135,1,14,93,14,14,1,1,0
File,"3804d0384c75c951f66f721e85afb217cacc327f\BeanDescriptorTest.java",109,1,9,56,9,12,1,3,1
File,"3804d0384c75c951f66f721e85afb217cacc327f\ElementDescriptorTest.java",33,1,1,18,1,3,1,3,1
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\Account.java",19,1,4,10,4,4,1,1,0
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\Actor.java",52,1,12,23,12,12,1,1,0
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\Address.java",39,1,8,22,8,8,1,1,0
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\All.java",3,1,0,2,0,0,0,0,0
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\Animal.java",26,2,4,16,6,6,1,1,0
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\Author.java",33,1,6,20,6,6,1,1,0
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\BeanDescriptorImplTest.java",97,1,5,43,5,9,1,3,1
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\Book.java",40,2,6,26,6,6,1,1,0
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\Boy.java",33,1,8,16,8,8,1,1,0
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\ConstraintCompositionTest.java",129,1,3,27,3,10,1,8,2
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\ConstraintHelperTest.java",95,4,13,40,13,13,1,1,0
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\Customer.java",35,1,8,18,8,8,1,1,0
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\DefaultAlias.java",3,1,0,2,0,0,0,0,0
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\Dictonary.java",27,2,4,17,4,4,1,1,0
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\Engine.java",16,1,2,11,2,2,1,1,0
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\First.java",3,1,0,2,0,0,0,0,0
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\FrenchAddress.java",8,1,1,5,1,1,1,1,0
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\GermanAddress.java",8,1,1,5,1,1,1,1,0
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\GroupChainGeneratorTest.java",88,1,9,44,9,10,1,2,1
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\GroupTest.java",314,1,10,82,10,14,1,4,2
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\Last.java",3,1,0,2,0,0,0,0,0
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\MultipleMinMax.java",15,1,1,11,1,1,1,1,0
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\Order.java",12,1,2,7,2,2,1,1,0
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\Person.java",12,1,3,11,0,0,0,0,0
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\Second.java",3,1,0,2,0,0,0,0,0
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\UnconstraintEntity.java",3,1,0,2,0,0,0,0,0
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\ValidationTest.java",213,8,19,98,19,21,1,2,1
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\ValidatorImplTest.java",352,1,17,119,17,32,1,5,1
File,"d2111614827b4a133fe161726c6eab5f45bbca5d\ValidatorResolutionTest.java",115,1,4,36,4,6,1,2,1
File,"62e4caacd6aadd3f55a7468f4d821c6f40663c57\AbstractConstructorValidationTest.java",119,1,7,54,7,7,1,1,0
File,"62e4caacd6aadd3f55a7468f4d821c6f40663c57\AbstractMethodValidationTest.java",561,1,31,136,31,51,1,2,1
File,"62e4caacd6aadd3f55a7468f4d821c6f40663c57\Address.java",41,1,4,14,10,11,7,7,2
File,"62e4caacd6aadd3f55a7468f4d821c6f40663c57\AnnotationMetaDataProvider.java",389,2,30,149,36,71,3,7,3
File,"62e4caacd6aadd3f55a7468f4d821c6f40663c57\AnnotationProcessingOptions.java",92,1,8,29,8,19,1,4,2
File,"62e4caacd6aadd3f55a7468f4d821c6f40663c57\ConfigurationSource.java",13,1,2,8,4,4,1,1,0
File,"62e4caacd6aadd3f55a7468f4d821c6f40663c57\ConstrainedExecutable.java",103,1,11,42,13,20,3,5,2
File,"62e4caacd6aadd3f55a7468f4d821c6f40663c57\ConstraintLocation.java",10,1,4,9,0,0,0,0,0
File,"62e4caacd6aadd3f55a7468f4d821c6f40663c57\Customer.java",60,1,6,19,15,17,10,10,2
File,"62e4caacd6aadd3f55a7468f4d821c6f40663c57\ExecutableConstraintLocation.java",106,1,13,35,22,30,10,10,2
File,"62e4caacd6aadd3f55a7468f4d821c6f40663c57\ExecutableElement.java",232,4,45,109,43,48,5,6,2
File,"62e4caacd6aadd3f55a7468f4d821c6f40663c57\Log.java",321,1,134,320,0,0,0,0,0
File,"62e4caacd6aadd3f55a7468f4d821c6f40663c57\MetaDataProviderKeyedByClassName.java",54,1,5,29,5,7,1,3,2
File,"62e4caacd6aadd3f55a7468f4d821c6f40663c57\ReflectionHelper.java",376,1,42,118,65,103,6,8,3
File,"62e4caacd6aadd3f55a7468f4d821c6f40663c57\ValidatorFactoryImpl.java",166,1,12,69,12,23,1,4,2
File,"62e4caacd6aadd3f55a7468f4d821c6f40663c57\ValidatorImpl.java",947,1,47,270,140,192,12,15,5
File,"62e4caacd6aadd3f55a7468f4d821c6f40663c57\ValidatorUtil.java",90,1,14,41,14,15,1,2,0
File,"62e4caacd6aadd3f55a7468f4d821c6f40663c57\XmlMappingParser.java",548,2,32,168,32,117,1,19,3
File,"62e4caacd6aadd3f55a7468f4d821c6f40663c57\XmlMetaDataProvider.java",107,2,6,40,6,12,1,5,2
File,"62e4caacd6aadd3f55a7468f4d821c6f40663c57\XmlParserHelper.java",90,1,6,44,8,15,3,3,2
File,"471d4b4bb414b7d810e5abd4a0bd6e308f61467f\ConstraintTree.java",194,1,17,63,17,43,1,7,3
File,"471d4b4bb414b7d810e5abd4a0bd6e308f61467f\ExecutionContext.java",239,1,32,85,35,48,4,5,2
File,"471d4b4bb414b7d810e5abd4a0bd6e308f61467f\MetaConstraint.java",108,1,12,38,12,20,1,4,2
File,"471d4b4bb414b7d810e5abd4a0bd6e308f61467f\PathImpl.java",147,1,15,47,23,39,4,6,4
File,"471d4b4bb414b7d810e5abd4a0bd6e308f61467f\ValidatorImpl.java",477,1,22,154,44,95,5,16,5
File,"d2f09fd5da4bb33dd70f72122bf9ab68af6c1e53\AbstractMessageInterpolator.java",265,1,14,90,16,37,4,15,3
File,"be2a64147320aacc6262b5fd181bea46e02618cd\AbstractCasFilter.java",61,1,11,24,11,16,1,3,1
File,"be2a64147320aacc6262b5fd181bea46e02618cd\AuthenticatorDelegate.java",102,1,12,42,15,20,4,7,3
File,"be2a64147320aacc6262b5fd181bea46e02618cd\CommonUtils.java",236,1,24,74,31,75,5,16,3
File,"be2a64147320aacc6262b5fd181bea46e02618cd\CommonUtilsTests.java",145,1,16,57,16,22,1,3,2
File,"729fd271129314524ee9051b04aa64faa7db14ac\CCMProjectAction.java",88,3,12,47,14,18,3,4,2
File,"a934cc710629894e2e47decaed362bde979e944a\BooleanPerceptronClassifier.java",165,1,8,83,8,24,1,9,3
File,"a934cc710629894e2e47decaed362bde979e944a\ClassificationResult.java",15,1,3,7,3,3,1,1,0
File,"a934cc710629894e2e47decaed362bde979e944a\Classifier.java",14,1,4,13,0,0,0,0,0
File,"a934cc710629894e2e47decaed362bde979e944a\KNearestNeighborClassifier.java",99,1,7,47,7,16,1,5,2
File,"a934cc710629894e2e47decaed362bde979e944a\SimpleNaiveBayesClassifier.java",143,1,12,71,12,23,1,4,3
File,"23c4d03c304a039f18f8cc1d9f1057c0f5b41997\ConfigSetsHandler.java",255,5,20,124,28,50,4,7,2
File,"23c4d03c304a039f18f8cc1d9f1057c0f5b41997\TestConfigSetsAPI.java",611,3,32,250,42,77,6,12,7
File,"f4a599904f0a073184311f53d376e9a1f82cef11\ElectionContext.java",501,5,26,150,49,89,9,21,7
File,"29a72efe2bad3f025f57a264690448dfafff7df7\SolrRequestParserTest.java",253,4,12,95,12,23,1,4,2
File,"29a72efe2bad3f025f57a264690448dfafff7df7\SolrRequestParsers.java",448,12,29,154,44,86,8,14,3
File,"d2732fd871ed6f230f289b3e413b4c24c2149dad\DistributedUpdateProcessor.java",802,3,26,250,66,208,9,28,7
File,"d2732fd871ed6f230f289b3e413b4c24c2149dad\PeerSync.java",403,4,14,128,48,81,9,18,4
File,"c9b6fe9555fafb572f0c111a6ae8eadfa380d8ef\AbstractPreAuthenticatedProcessingFilter.java",88,1,10,39,8,17,1,5,2
File,"743cc9fec79976b343853568f4e4f906d67bd2b2\FilterBasedLdapUserSearch.java",87,1,6,36,6,14,1,6,2
File,"63bbc19deb76a8d65073b1dc69a389ceca87a8b4\ServerWebExchangeMatcherEntry.java",15,1,3,7,3,3,1,1,0
File,"63bbc19deb76a8d65073b1dc69a389ceca87a8b4\WebClientOAuth2PocTests.java",67,1,8,31,8,8,1,1,0
File,"861d9e777bc780526f7d9ca25cc0d6573f0dfab8\Main.java",78,2,19,42,19,20,1,2,1
File,"861d9e777bc780526f7d9ca25cc0d6573f0dfab8\Reservation.java",28,1,3,12,3,3,1,1,0
File,"861d9e777bc780526f7d9ca25cc0d6573f0dfab8\Warden.java",232,4,25,99,31,47,3,6,3
File,"861d9e777bc780526f7d9ca25cc0d6573f0dfab8\WardenServlet.java",107,1,7,47,9,18,3,4,3
File,"861d9e777bc780526f7d9ca25cc0d6573f0dfab8\WardenTest.java",74,1,6,27,6,6,1,1,0
File,"861d9e777bc780526f7d9ca25cc0d6573f0dfab8\package-info.java",1,0,0,1,0,0,0,0,0
File,"003213301f239ddfa32883682c779796f9819bad\DynamicConfigManager.java",164,2,18,83,20,29,3,4,3
File,"003213301f239ddfa32883682c779796f9819bad\ResourceIdParser.java",221,1,20,71,20,43,1,7,4
File,"db450ee09309f50ad4cf2899302c01216a912dcd\BasicLinkConfig.java",54,1,11,26,11,17,1,5,1
File,"ab7e8b8c20bc2c63cccc0ec73d8023e3d30ff8f7\DispatchClientServerWithMalformedResponseTest.java",108,3,8,59,8,12,1,3,2
File,"1ce69fd785a56099adc9f1ea28fa59eb9f0340fc\AbstractConduitSelector.java",105,1,7,44,6,24,1,9,5
File,"1ce69fd785a56099adc9f1ea28fa59eb9f0340fc\ClientImpl.java",822,4,62,256,74,180,8,23,7
File,"1ce69fd785a56099adc9f1ea28fa59eb9f0340fc\ClientProxyFactoryBeanDefinitionParser.java",95,2,14,44,14,26,1,9,1
File,"1ce69fd785a56099adc9f1ea28fa59eb9f0340fc\ConduitSelector.java",11,1,5,10,0,0,0,0,0
File,"1ce69fd785a56099adc9f1ea28fa59eb9f0340fc\JaxWsProxyFactoryBeanDefinitionParser.java",59,2,11,28,11,13,1,2,1
File,"1ce69fd785a56099adc9f1ea28fa59eb9f0340fc\PreexistingConduitSelector.java",42,1,7,19,7,10,1,3,2
File,"ec7720ebed702684d3cd4b47e95f6cc1a81a6983\JAXRSMultipartTest.java",690,1,71,398,71,75,1,3,2
File,"ec7720ebed702684d3cd4b47e95f6cc1a81a6983\MultipartStore.java",635,1,52,367,56,96,3,6,2
File,"e4c456743a046f37ce9623529635218be7f13e7b\JavaDocProvider.java",298,3,30,112,58,84,13,23,5
File,"e4c456743a046f37ce9623529635218be7f13e7b\Swagger2Feature.java",175,3,18,83,18,33,1,6,3
File,"e4c456743a046f37ce9623529635218be7f13e7b\Swagger2Serializers.java",121,1,3,59,3,25,1,20,5
File,"e4c456743a046f37ce9623529635218be7f13e7b\WadlGenerator.java",1953,11,137,656,231,530,10,31,8
File,"89fdc787cf088a8aa8c44fb303334db4c2f582e3\NamePasswordCallbackHandler.java",44,1,3,23,5,7,3,5,2
File,"185d7df330367537b7428c82369b6dd3e3ea59f6\JAXBElementProvider.java",501,1,32,182,40,119,7,18,4
File,"8ee94e10892928e61ad87226df07bf9a3573e882\AbstractTypeTestClient.java",1949,1,70,607,70,417,1,10,3
File,"8ee94e10892928e61ad87226df07bf9a3573e882\AppleFindClientServerTest.java",24,1,2,18,2,2,1,1,0
File,"8ee94e10892928e61ad87226df07bf9a3573e882\AppleServer.java",20,1,2,8,2,3,1,2,1
File,"8ee94e10892928e61ad87226df07bf9a3573e882\BusShutdownTest.java",57,1,6,36,6,6,1,1,0
File,"8ee94e10892928e61ad87226df07bf9a3573e882\CallbackClientServerTest.java",51,1,2,37,2,3,1,2,1
File,"8ee94e10892928e61ad87226df07bf9a3573e882\ClientServerVersioningTest.java",35,1,2,21,2,3,1,2,1
File,"8ee94e10892928e61ad87226df07bf9a3573e882\DOCBareClientServerTest.java",76,1,4,46,4,8,1,4,3
File,"8ee94e10892928e61ad87226df07bf9a3573e882\HeaderClientServerTest.java",78,2,6,55,5,5,1,1,0
File,"8ee94e10892928e61ad87226df07bf9a3573e882\SOAPDocLitClientTypeTest.java",202,1,8,85,8,18,1,4,2
File,"8ee94e10892928e61ad87226df07bf9a3573e882\SOAPDocLitServerImpl.java",52,2,3,26,3,5,1,2,1
File,"8ee94e10892928e61ad87226df07bf9a3573e882\SOAPRpcLitClientTypeTest.java",176,1,7,74,7,16,1,4,2
File,"8ee94e10892928e61ad87226df07bf9a3573e882\SOAPRpcLitServerImpl.java",31,2,2,18,2,3,1,2,1
File,"8ee94e10892928e61ad87226df07bf9a3573e882\Server.java",33,1,2,17,2,3,1,2,1
File,"8ee94e10892928e61ad87226df07bf9a3573e882\ServerImpl.java",58,1,2,37,2,4,1,3,2
File,"8ee94e10892928e61ad87226df07bf9a3573e882\Soap12ClientServerTest.java",136,1,7,76,7,9,1,2,1
File,"8ee94e10892928e61ad87226df07bf9a3573e882\SoapActionTest.java",61,1,4,31,4,4,1,1,0
File,"8ee94e10892928e61ad87226df07bf9a3573e882\StringArrayTest.java",46,1,3,32,3,3,1,1,0
File,"8ee94e10892928e61ad87226df07bf9a3573e882\TypeSubClientServerTest.java",55,1,3,26,3,13,1,11,1
File,"8ee94e10892928e61ad87226df07bf9a3573e882\ValidationClientServerTest.java",71,1,2,32,2,6,1,5,1
File,"8ee94e10892928e61ad87226df07bf9a3573e882\ValidationServer.java",36,1,4,14,4,7,1,2,1
File,"8ee94e10892928e61ad87226df07bf9a3573e882\XMLClientTypeTest.java",15,1,1,11,1,1,1,1,0
File,"8ee94e10892928e61ad87226df07bf9a3573e882\XMLServerImpl.java",38,2,2,22,2,3,1,2,1
File,"9e1115bbb9f3f1776e0604d4f105a3824af8c86c\TestUtil.java",109,1,9,39,14,21,4,5,3
File,"c1a43f2e6593c7dbf3b7a40e6533e37fee2ef9a9\AhcWebSocketConduit.java",367,6,48,152,53,83,4,8,3
File,"a02b60fdd1cdda444c83c328ea5b5ac198614d1d\DefaultConditionsProvider.java",171,1,13,65,15,39,3,15,5
File,"7b8cf2deb14bd9227d68f48c22f0a7cb3109a07c\AlgorithmSuiteTest.java",141,1,6,59,6,15,1,4,2
File,"7b8cf2deb14bd9227d68f48c22f0a7cb3109a07c\BaseAlternativeSelector.java",30,1,2,11,5,7,4,4,2
File,"aab7030cf948cfaff1126bac8d9807e1c4be1e14\SoapFaultSerializerTest.java",116,1,4,56,4,4,1,1,0
File,"8c85660cd1d6f479722bbc0c5dab0ebce9a9c554\ClassResourceInfo.java",279,1,35,105,39,80,3,12,4
File,"9be6ef67c1099992a44e91cf1af48b43123d6cbc\JAASAuthenticationFilter.java",122,2,14,59,14,27,1,12,4
File,"9be6ef67c1099992a44e91cf1af48b43123d6cbc\JAASLoginInterceptor.java",121,2,16,52,16,26,1,8,2
File,"406467961cf47f7d01c591a94d993cc234db4448\ReadHeadersInterceptor.java",202,2,7,82,11,39,5,26,7
File,"406467961cf47f7d01c591a94d993cc234db4448\SoapHeaderInterceptor.java",145,1,4,61,9,28,4,19,6
File,"4bea4981a883694302842884b6f36847d9659096\ContainerIntegrationTest.java",47,1,3,24,3,4,1,2,1
File,"c9184fe7120540f8472ac697957cdee710bcb70f\ActiveDirectoryRealm.java",99,1,5,45,5,17,1,7,5
File,"c9184fe7120540f8472ac697957cdee710bcb70f\ActiveDirectoryRealmTest.java",92,3,8,50,8,10,1,2,1
File,"c9184fe7120540f8472ac697957cdee710bcb70f\AuthenticatingRealm.java",85,1,14,31,13,20,1,7,2
File,"c9184fe7120540f8472ac697957cdee710bcb70f\AuthorizingRealmTest.java",82,3,7,45,7,8,1,2,1
File,"c9184fe7120540f8472ac697957cdee710bcb70f\JdbcRealm.java",170,1,11,65,11,26,1,5,4
File,"c9184fe7120540f8472ac697957cdee710bcb70f\MemoryRealm.java",280,1,33,86,37,84,3,10,5
File,"bb3ff120e6995431d10439243d8b163712de0e0e\CacheAtomicPrimarySyncBackPressureTest.java",81,2,8,41,8,12,1,3,2
