Kind,Name,CountLineCode,CountDeclClass,CountDeclFunction,CountLineCodeDecl,SumEssential,SumCyclomaticStrict,MaxEssential,MaxCyclomaticStrict,MaxNesting,class
File,0ff4905158b77787a7f3aca55c9dec93456665dc/ContextConfig.java,1673,2,51,395,90,412,10,43,5,pos
File,0ff4905158b77787a7f3aca55c9dec93456665dc/TestStandardWrapper.java,206,9,17,106,17,23,1,5,1,pos
File,b3bad5ea44f3fd9edb2cb491192c5900f46d45d/ActionChainResult.java,129,1,16,49,23,40,6,10,2,pos
File,b3bad5ea44f3fd9edb2cb491192c5900f46d45d/PortletActionRedirectResult.java,99,1,12,47,12,20,1,9,3,pos
File,b3bad5ea44f3fd9edb2cb491192c5900f46d45d/PostbackResult.java,118,1,13,51,13,24,1,8,3,pos
File,b3bad5ea44f3fd9edb2cb491192c5900f46d45d/ServletActionRedirectResult.java,71,1,10,24,10,12,1,3,1,pos
File,b3bad5ea44f3fd9edb2cb491192c5900f46d45d/StrutsResultSupport.java,89,2,13,34,15,21,4,4,3,pos
File,7a7df6637478607bef0277bf52a4e0a03e20a248/JavaScriptUtils.java,45,1,1,6,1,12,1,12,3,pos
File,8830d68f5fe21f344be3496984bc4470bfcd0564/Plugin.java,72,2,12,46,12,20,1,7,1,pos
File,8830d68f5fe21f344be3496984bc4470bfcd0564/PluginTest.java,22,1,1,10,1,1,1,1,0,pos
File,b4265d369dc29d57a9f2846a85b26598e83f3892/ConversionErrorInterceptor.java,52,2,4,24,4,10,1,6,1,pos
File,b4265d369dc29d57a9f2846a85b26598e83f3892/ConversionErrorInterceptorTest.java,96,1,8,36,8,8,1,1,0,pos
File,b4265d369dc29d57a9f2846a85b26598e83f3892/RepopulateConversionErrorFieldValidatorSupport.java,67,2,6,29,5,16,1,9,1,pos
File,b4265d369dc29d57a9f2846a85b26598e83f3892/StrutsConversionErrorInterceptor.java,38,1,2,11,8,8,7,7,2,pos
File,b4265d369dc29d57a9f2846a85b26598e83f3892/StrutsConversionErrorInterceptorTest.java,62,1,3,24,3,3,1,1,0,pos
File,ad6647120db12f0e67ee4a952a71ea494a39a475/FileTransfer.java,754,11,32,228,49,151,8,34,7,pos
File,5ec476b0b756852db865b2e442180f091f8209ee/InvokerTransformer.java,86,2,7,26,11,25,5,11,1,pos
File,5ec476b0b756852db865b2e442180f091f8209ee/TestInvokerTransformer.java,55,1,6,26,6,8,1,2,1,pos
File,d63cfc8eebc396be009e733a81ebb4c984811f6e/AlternativeJdkIdGenerator.java,27,1,2,14,2,4,1,3,1,pos
File,d63cfc8eebc396be009e733a81ebb4c984811f6e/SockJsUrlInfo.java,70,1,9,24,9,17,1,6,2,pos
File,8e62852a8018978ee19d39056c650fb66ffa0ff6/StandardByteDigester.java,344,1,17,77,23,86,4,33,6,pos
File,83679b99cd40caa401d173c8f8e72fc98eb5d5be/CoyoteAdapter.java,886,3,19,191,63,202,18,40,6,pos
File,83679b99cd40caa401d173c8f8e72fc98eb5d5be/Request.java,1871,9,160,527,238,449,12,31,7,pos
File,00ff3490878e78f3f8c9eb65efb054f85f6058f8/HtmlCoreReport.java,677,2,42,138,50,109,3,9,3,pos
File,00ff3490878e78f3f8c9eb65efb054f85f6058f8/HtmlCounterReport.java,649,2,40,127,44,124,3,8,3,pos
File,00ff3490878e78f3f8c9eb65efb054f85f6058f8/HtmlSessionInformationsReport.java,238,1,13,43,15,33,3,6,2,pos
