Kind,Name,CountLineCode,CountDeclClass,CountDeclFunction,CountLineCodeDecl,SumEssential,SumCyclomaticStrict,MaxEssential,MaxCyclomaticStrict,MaxNesting
File,"AbstractBrokerFactory.java",527,3,46,155,59,121,7,11,5
File,"AbstractCastorDataFormat.java",143,1,25,65,25,33,1,6,2
File,"AbstractDBParser.java",98,1,8,38,4,14,1,9,3
File,"AbstractRepository.java",185,2,8,73,8,45,1,13,5
File,"ActionConfig.java",243,2,38,63,47,73,10,17,1
File,"AuthenticatorBase.java",377,1,31,125,42,94,8,34,5
File,"AuthorizationCodeProviderTests.java",13,1,1,8,1,1,1,1,0
File,"AuthzAuthenticationFilter.java",153,4,13,70,13,27,1,8,4
File,"AuthzAuthenticationManager.java",179,2,15,81,20,32,4,12,3
File,"BCXMSSMTPrivateKey.java",143,1,13,59,15,20,3,4,2
File,"BCXMSSPrivateKey.java",138,1,12,57,14,19,3,4,2
File,"BeanSelectionProvider.java",183,2,11,69,11,28,1,10,5
File,"CastorDataFormat.java",75,1,12,38,12,17,1,6,1
File,"CastorDataFormatConfiguration.java",49,1,12,24,12,12,1,1,0
File,"ChangePasswordController.java",57,1,3,33,6,6,4,4,1
File,"ChangePasswordIT.java",91,1,6,55,6,6,1,1,0
File,"CloneTransformer.java",24,1,4,12,4,5,1,2,1
File,"CodeFlow.java",664,3,44,88,91,216,17,25,3
File,"Context.java",222,1,191,221,0,0,0,0,0
File,"ContextHandler.java",1425,7,121,337,169,370,14,31,8
File,"CronTab.java",299,7,41,91,70,87,7,11,4
File,"CronTabTest.java",234,3,26,96,26,35,1,3,2
File,"CulpritsRecipientProvider.java",67,3,4,40,9,9,6,6,4
File,"DOMUtils.java",446,2,42,144,74,135,7,10,3
File,"DSATest.java",1004,2,27,324,27,80,1,10,2
File,"DefaultActionMapper.java",329,7,28,100,38,88,6,16,4
File,"DefaultActionMapperTest.java",553,4,53,215,53,53,1,1,0
File,"DefaultConfiguration.java",390,4,29,155,29,74,1,7,4
File,"DefaultSTSTokenCacher.java",136,1,7,41,18,34,5,7,3
File,"DefaultServlet.java",826,2,22,194,61,214,17,38,7
File,"DefaultServlet.java",1316,3,42,360,120,295,14,78,6
File,"DefaultServletTest.java",910,3,34,236,34,45,1,4,3
File,"DevelopersRecipientProvider.java",41,3,4,31,4,4,1,1,0
File,"FailedContext.java",585,1,229,529,233,236,5,5,2
File,"FailingTestSuspectsRecipientProvider.java",109,3,4,42,12,17,9,14,8
File,"FileConsumerFileExpressionTest.java",62,4,8,20,8,8,1,1,0
File,"FileKeystoreManager.java",332,1,16,123,26,72,5,11,3
File,"FileProducerConsumedFileNameEvaluationTest.java",36,1,4,18,4,4,1,1,0
File,"FileProducerExpressionTest.java",65,2,10,29,10,10,1,1,0
File,"FileTransfer.java",760,11,32,230,49,151,8,34,7
