Kind,Name,CountLineCode,CountDeclClass,CountDeclFunction,CountLineCodeDecl,SumEssential,SumCyclomaticStrict,MaxEssential,MaxCyclomaticStrict,MaxNesting
File,"AbstractCasFilter.java",61,1,11,24,11,16,1,3,1
File,"AbstractConstructorValidationTest.java",119,1,7,54,7,7,1,1,0
File,"AbstractMessageInterpolator.java",265,1,14,90,16,37,4,15,3
File,"AbstractMethodValidationTest.java",561,1,31,136,31,51,1,2,1
File,"AbstractProxyServlet.java",537,3,38,145,52,120,5,11,4
File,"Account.java",19,1,4,10,4,4,1,1,0
File,"Actor.java",52,1,12,23,12,12,1,1,0
File,"Address.java",41,1,4,14,10,11,7,7,2
File,"Address.java",39,1,8,22,8,8,1,1,0
File,"All.java",3,1,0,2,0,0,0,0,0
File,"Animal.java",26,2,4,16,6,6,1,1,0
File,"AnnotationMetaDataProvider.java",389,2,30,149,36,71,3,7,3
File,"AnnotationProcessingOptions.java",92,1,8,29,8,19,1,4,2
File,"AuthenticatorDelegate.java",102,1,12,42,15,20,4,7,3
File,"Author.java",33,1,6,20,6,6,1,1,0
File,"BeanDescriptorImplTest.java",97,1,5,43,5,9,1,3,1
File,"BeanDescriptorTest.java",109,1,9,56,9,12,1,3,1
File,"Book.java",40,2,6,26,6,6,1,1,0
File,"BooleanPerceptronClassifier.java",165,1,8,83,8,24,1,9,3
File,"BootstrappingTest.java",135,1,14,93,14,14,1,1,0
File,"Boy.java",33,1,8,16,8,8,1,1,0
File,"CCMProjectAction.java",88,3,12,47,14,18,3,4,2
File,"ClassificationResult.java",15,1,3,7,3,3,1,1,0
File,"Classifier.java",14,1,4,13,0,0,0,0,0
File,"CommonUtils.java",236,1,24,74,31,75,5,16,3
File,"CommonUtilsTests.java",145,1,16,57,16,22,1,3,2
File,"ConfigSetsHandler.java",255,5,20,124,28,50,4,7,2
File,"ConfigurationSource.java",13,1,2,8,4,4,1,1,0
File,"ConstrainedExecutable.java",103,1,11,42,13,20,3,5,2
File,"ConstraintCompositionTest.java",129,1,3,27,3,10,1,8,2
File,"ConstraintHelperTest.java",95,4,13,40,13,13,1,1,0
File,"ConstraintLocation.java",10,1,4,9,0,0,0,0,0
File,"ConstraintTree.java",194,1,17,63,17,43,1,7,3
File,"Customer.java",35,1,8,18,8,8,1,1,0
File,"Customer.java",60,1,6,19,15,17,10,10,2
File,"DefaultAlias.java",3,1,0,2,0,0,0,0,0
File,"DefaultPolicyLoader.java",133,5,4,57,4,17,1,9,3
File,"Dictonary.java",27,2,4,17,4,4,1,1,0
File,"ElectionContext.java",501,5,26,150,49,89,9,21,7
File,"ElementDescriptorTest.java",33,1,1,18,1,3,1,3,1
File,"Engine.java",16,1,2,11,2,2,1,1,0
File,"ExecutableConstraintLocation.java",106,1,13,35,22,30,10,10,2
File,"ExecutableElement.java",232,4,45,109,43,48,5,6,2
File,"ExecutionContext.java",239,1,32,85,35,48,4,5,2
File,"First.java",3,1,0,2,0,0,0,0,0
File,"FrenchAddress.java",8,1,1,5,1,1,1,1,0
File,"GermanAddress.java",8,1,1,5,1,1,1,1,0
File,"GroupChainGeneratorTest.java",88,1,9,44,9,10,1,2,1
File,"GroupTest.java",314,1,10,82,10,14,1,4,2
File,"HpackTest.java",158,1,6,59,8,9,3,3,2
File,"HttpClient.java",518,3,83,167,82,103,1,8,3
File,"HttpClientTest.java",206,6,20,74,22,25,3,4,2
File,"HttpConnection.java",590,3,28,112,47,135,15,62,9
File,"HttpDestination.java",577,2,39,117,42,108,4,11,4
File,"HttpReceiverOverHTTP2.java",85,1,7,38,11,18,5,7,3
File,"Huffman.java",432,1,8,312,10,26,3,11,4
File,"HuffmanTest.java",58,1,6,29,6,6,1,1,0
File,"JettyPolicy.java",97,1,4,30,4,20,1,8,4
File,"KNearestNeighborClassifier.java",99,1,7,47,7,16,1,5,2
File,"Last.java",3,1,0,2,0,0,0,0,0
File,"Log.java",321,1,134,320,0,0,0,0,0
File,"MetaConstraint.java",108,1,12,38,12,20,1,4,2
File,"MetaDataProviderKeyedByClassName.java",54,1,5,29,5,7,1,3,2
File,"MultipleMinMax.java",15,1,1,11,1,1,1,1,0
File,"OSGiAppProvider.java",464,3,39,104,61,102,5,10,5
File,"Order.java",12,1,2,7,2,2,1,1,0
File,"PathImpl.java",147,1,15,47,23,39,4,6,4
File,"Person.java",12,1,3,11,0,0,0,0,0
File,"PluginManagerTest.java",112,1,7,68,7,9,1,3,1
File,"ReflectionHelper.java",376,1,42,118,65,103,6,8,3
File,"Runner.java",444,2,11,104,14,96,4,63,6
File,"Second.java",3,1,0,2,0,0,0,0,0
File,"ServletHandler.java",1051,3,64,221,88,242,7,40,5
File,"ShutdownMonitor.java",350,3,29,74,39,58,9,12,5
File,"SimpleNaiveBayesClassifier.java",143,1,12,71,12,23,1,4,3
