Kind,Name,CountLineCode,CountDeclClass,CountDeclFunction,CountLineCodeDecl,SumEssential,SumCyclomaticStrict,MaxEssential,MaxCyclomaticStrict,MaxNesting
File,"BindingBeanNameUrlHandlerMapping.java",36,1,1,14,1,6,1,6,3
File,"BrokerFacadeSupport.java",151,1,16,88,17,25,3,3,2
File,"ClassLoadingAwareObjectInputStream.java",143,1,7,35,34,56,21,33,4
File,"CliGitAPIImpl.java",1913,11,187,425,237,487,13,24,6
File,"ConventionUnknownHandler.java",292,2,13,100,32,70,6,18,5
File,"CookieCutter.java",240,1,7,35,9,54,3,39,6
File,"CreateDestination.java",16,1,2,10,2,2,1,1,0
File,"CreateSubscriber.java",26,1,4,13,4,6,1,3,1
File,"DestinationFacade.java",87,1,17,31,17,26,1,3,1
File,"HttpTunnelServlet.java",183,2,13,71,24,35,4,8,2
File,"JaxbEngine.java",48,1,4,29,4,6,1,2,1
File,"JdbcRevocableTokenProvisioning.java",167,2,19,80,19,26,1,4,1
File,"JobOwnerJobProperty.java",108,2,16,64,16,20,1,3,0
File,"OwnerNodeProperty.java",95,2,13,51,15,20,3,3,1
File,"OwnershipDescription.java",193,1,24,82,34,53,8,11,3
File,"PathResourceResolver.java",183,1,15,63,29,51,5,9,4
File,"Request.java",1105,2,126,286,148,314,8,26,6
File,"RevocableTokenProvisioning.java",9,1,4,8,0,0,0,0,0
File,"SendMessage.java",151,1,24,57,26,41,3,11,5
File,"SessionFilter.java",20,1,3,14,3,3,1,1,0
File,"ShowBeansAction.java",99,2,10,42,10,17,1,5,2
File,"ShowConstantsAction.java",18,1,2,10,2,3,1,2,1
File,"SplitXml.java",288,2,21,147,25,39,5,8,4
File,"TokenEndpointDocs.java",742,2,18,290,18,18,1,1,0
File,"TokenMvcMockTests.java",3036,29,105,1005,105,124,1,6,2
File,"TokenRevocationEndpoint.java",115,2,11,64,11,13,1,2,1
File,"XmlUtils.java",23,1,2,10,2,4,1,2,1
Package,"com",0,0,,0,0,0,0,0,0
Package,"com.synopsys",0,0,,0,0,0,0,0,0
Package,"com.synopsys.arc",0,0,,0,0,0,0,0,0
Package,"com.synopsys.arc.jenkins",0,0,,0,0,0,0,0,0
Package,"com.synopsys.arc.jenkins.plugins",0,0,,0,0,0,0,0,0
Package,"com.synopsys.arc.jenkins.plugins.ownership",193,1,,82,34,53,8,11,3
Public Class,"com.synopsys.arc.jenkins.plugins.ownership.OwnershipDescription",176,,,65,34,53,8,11,3
Public Constructor,"com.synopsys.arc.jenkins.plugins.ownership.OwnershipDescription.OwnershipDescription",3,,,1,1,1,,,0
Public Constructor,"com.synopsys.arc.jenkins.plugins.ownership.OwnershipDescription.OwnershipDescription",5,,,1,1,2,,,0
Public Static Method,"com.synopsys.arc.jenkins.plugins.ownership.OwnershipDescription.Parse",4,,,2,1,1,,,0
Private Static Method,"com.synopsys.arc.jenkins.plugins.ownership.OwnershipDescription.addUser",6,,,2,1,2,,,1
Public Method,"com.synopsys.arc.jenkins.plugins.ownership.OwnershipDescription.assign",5,,,1,1,1,,,0
Public Method,"com.synopsys.arc.jenkins.plugins.ownership.OwnershipDescription.equals",24,,,2,8,11,,,1
Public Method,"com.synopsys.arc.jenkins.plugins.ownership.OwnershipDescription.getCoOwnerEmails",3,,,1,1,1,,,0
Public Method,"com.synopsys.arc.jenkins.plugins.ownership.OwnershipDescription.getCoOwnerIds",3,,,1,1,1,,,0
Public Method,"com.synopsys.arc.jenkins.plugins.ownership.OwnershipDescription.getCoownersIds",3,,,1,1,1,,,0
Public Method,"com.synopsys.arc.jenkins.plugins.ownership.OwnershipDescription.getOwnerEmail",3,,,1,1,1,,,0
Public Method,"com.synopsys.arc.jenkins.plugins.ownership.OwnershipDescription.getOwnerId",3,,,1,1,1,,,0
Public Method,"com.synopsys.arc.jenkins.plugins.ownership.OwnershipDescription.getPrimaryOwner",3,,,1,1,2,,,0
Public Method,"com.synopsys.arc.jenkins.plugins.ownership.OwnershipDescription.getPrimaryOwnerEmail",3,,,1,1,1,,,0
Public Method,"com.synopsys.arc.jenkins.plugins.ownership.OwnershipDescription.getPrimaryOwnerId",3,,,1,1,2,,,0
