severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	tags	component	flows	organization	textRange	debt	key	hash	status
MINOR	2020-07-03T17:57:05+0200		71.0		java:S2386	Prova_Mining_Second_Part	15min	"Make this member ""protected""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/866/17ce298b98df08e413e81a61f209912ea7fe36ef/Runner.java		default-organization	{startLine=71.0, endLine=71.0, startOffset=33.0, endOffset=59.0}	15min	AXMVa5NrkLspzIj1dA_E	cef48bca33fc27fd295ef071f478584d	OPEN
MINOR	2020-07-03T17:57:05+0200		564.0		java:S1148	Prova_Mining_Second_Part	10min	Use a logger to log this exception.	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/866/17ce298b98df08e413e81a61f209912ea7fe36ef/Runner.java		default-organization	{startLine=564.0, endLine=564.0, startOffset=14.0, endOffset=29.0}	10min	AXMVa5NrkLspzIj1dA_D	2dc1665d31b37f9aa7408939a0365027	OPEN
MINOR	2020-07-03T17:57:05+0200		60.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""instance""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/866/17ce298b98df08e413e81a61f209912ea7fe36ef/ShutdownMonitor.java		default-organization	{startLine=60.0, endLine=60.0, startOffset=31.0, endOffset=39.0}	5min	AXMVa5NwkLspzIj1dA_F	5b85d42a6ee0214072e60aaec5186976	OPEN
MINOR	2020-07-03T17:57:05+0200		78.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""_threadPool""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/870/b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba/HttpClient.java		default-organization	{startLine=78.0, endLine=78.0, startOffset=15.0, endOffset=26.0}	5min	AXMVa5NCkLspzIj1dA-5	bd8f624b063b503b128d4335a269f8f9	OPEN
MINOR	2020-07-03T17:57:05+0200		79.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""_connector""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/870/b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba/HttpClient.java		default-organization	{startLine=79.0, endLine=79.0, startOffset=14.0, endOffset=24.0}	5min	AXMVa5NCkLspzIj1dA-6	e30c974975ca3dd7a903bde958f46c88	OPEN
MINOR	2020-07-03T17:57:05+0200		351.0		java:S2384	Prova_Mining_Second_Part	5min	"Return a copy of ""_registeredListeners""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/870/b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba/HttpClient.java		default-organization	{startLine=351.0, endLine=351.0, startOffset=15.0, endOffset=35.0}	5min	AXMVa5NCkLspzIj1dA-2	b43b46d3c40aa49f193eb069b22be26a	OPEN
MINOR	2020-07-03T17:57:05+0200		630.0		java:S2384	Prova_Mining_Second_Part	5min	"Return a copy of ""_noProxy""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/870/b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba/HttpClient.java		default-organization	{startLine=630.0, endLine=630.0, startOffset=15.0, endOffset=23.0}	5min	AXMVa5NCkLspzIj1dA-3	67744226701242193e33e970de07e322	OPEN
MINOR	2020-07-03T17:57:05+0200		636.0		java:S2384	Prova_Mining_Second_Part	5min	"Store a copy of ""noProxyAddresses""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/870/b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba/HttpClient.java		default-organization	{startLine=636.0, endLine=636.0, startOffset=19.0, endOffset=35.0}	5min	AXMVa5NCkLspzIj1dA-4	2890809cfaa2c80c0dff04461f6551df	OPEN
CRITICAL	2020-07-03T17:57:05+0200		483.0		java:S2658	Prova_Mining_Second_Part	45min	Remove this use of dynamic class loading.	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/870/b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba/HttpDestination.java		default-organization	{startLine=483.0, endLine=483.0, startOffset=43.0, endOffset=50.0}	45min	AXMVa5M6kLspzIj1dA-1	ea9017786f5d7ae3818c80d82d2a7cb5	OPEN
MINOR	2020-07-03T17:57:05+0200		490.0		java:S1148	Prova_Mining_Second_Part	10min	Use a logger to log this exception.	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/870/b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba/HttpDestination.java		default-organization	{startLine=490.0, endLine=490.0, startOffset=22.0, endOffset=37.0}	10min	AXMVa5M6kLspzIj1dA-0	2dc1665d31b37f9aa7408939a0365027	OPEN
MINOR	2020-07-03T17:57:05+0200		230.0		java:S2384	Prova_Mining_Second_Part	5min	"Return a copy of ""_filterMappings""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/870/b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba/ServletHandler.java		default-organization	{startLine=230.0, endLine=230.0, startOffset=15.0, endOffset=30.0}	5min	AXMVa5MrkLspzIj1dA-i	0a14bcb633a6d9a85be320d9c6fb834b	OPEN
MINOR	2020-07-03T17:57:05+0200		239.0		java:S2384	Prova_Mining_Second_Part	5min	"Return a copy of ""_filters""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/870/b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba/ServletHandler.java		default-organization	{startLine=239.0, endLine=239.0, startOffset=15.0, endOffset=23.0}	5min	AXMVa5MrkLspzIj1dA-j	2b097aa45937b09b28e32bc9429efe55	OPEN
MINOR	2020-07-03T17:57:05+0200		303.0		java:S2384	Prova_Mining_Second_Part	5min	"Return a copy of ""_servletMappings""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/870/b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba/ServletHandler.java		default-organization	{startLine=303.0, endLine=303.0, startOffset=15.0, endOffset=31.0}	5min	AXMVa5MrkLspzIj1dA-k	4afba9e67deb6b01189076208c2b2796	OPEN
MINOR	2020-07-03T17:57:05+0200		336.0		java:S2384	Prova_Mining_Second_Part	5min	"Return a copy of ""_servlets""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/870/b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba/ServletHandler.java		default-organization	{startLine=336.0, endLine=336.0, startOffset=15.0, endOffset=24.0}	5min	AXMVa5MrkLspzIj1dA-l	8dff1ca0711085b9b49cafd6e4aa246b	OPEN
MINOR	2020-07-03T17:57:05+0200		1249.0		java:S2384	Prova_Mining_Second_Part	5min	"Store a copy of ""filterMappings""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/870/b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba/ServletHandler.java		default-organization	{startLine=1249.0, endLine=1249.0, startOffset=26.0, endOffset=40.0}	5min	AXMVa5MrkLspzIj1dA-m	0aaa4fdf1da62af1c3ff34b8a8ff7347	OPEN
MINOR	2020-07-03T17:57:05+0200		1259.0		java:S2384	Prova_Mining_Second_Part	5min	"Store a copy of ""holders""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/870/b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba/ServletHandler.java		default-organization	{startLine=1259.0, endLine=1259.0, startOffset=17.0, endOffset=24.0}	5min	AXMVa5MrkLspzIj1dA-n	08def503fdac3e47ba9b6c5043d4040c	OPEN
MINOR	2020-07-03T17:57:05+0200		1272.0		java:S2384	Prova_Mining_Second_Part	5min	"Store a copy of ""servletMappings""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/870/b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba/ServletHandler.java		default-organization	{startLine=1272.0, endLine=1272.0, startOffset=27.0, endOffset=42.0}	5min	AXMVa5MrkLspzIj1dA-o	74ef96458dfe3a278a5289636d43dcc2	OPEN
MINOR	2020-07-03T17:57:05+0200		1285.0		java:S2384	Prova_Mining_Second_Part	5min	"Store a copy of ""holders""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/870/b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba/ServletHandler.java		default-organization	{startLine=1285.0, endLine=1285.0, startOffset=18.0, endOffset=25.0}	5min	AXMVa5MrkLspzIj1dA-p	3f21d09f4fffeac6025af14e71b5be7f	OPEN
MINOR	2020-07-03T17:57:05+0200		1295.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""_filterHolder""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/870/b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba/ServletHandler.java		default-organization	{startLine=1295.0, endLine=1295.0, startOffset=21.0, endOffset=34.0}	5min	AXMVa5MrkLspzIj1dA-q	1916ffd96f15e95b551855cc45b15a89	OPEN
MINOR	2020-07-03T17:57:05+0200		1296.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""_next""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/870/b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba/ServletHandler.java		default-organization	{startLine=1296.0, endLine=1296.0, startOffset=20.0, endOffset=25.0}	5min	AXMVa5MrkLspzIj1dA-r	b52fff86b41ac9486fffaf57105a4eac	OPEN
MINOR	2020-07-03T17:57:05+0200		1297.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""_servletHolder""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/870/b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba/ServletHandler.java		default-organization	{startLine=1297.0, endLine=1297.0, startOffset=22.0, endOffset=36.0}	5min	AXMVa5MrkLspzIj1dA-s	f926142e9924d530e801e27ca9862f8d	OPEN
MINOR	2020-07-03T17:57:05+0200		1372.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""_baseRequest""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/870/b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba/ServletHandler.java		default-organization	{startLine=1372.0, endLine=1372.0, startOffset=22.0, endOffset=34.0}	5min	AXMVa5MrkLspzIj1dA-t	b2d01d39c002c3f4b06534955fd8232e	OPEN
MINOR	2020-07-03T17:57:05+0200		1373.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""_chain""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/870/b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba/ServletHandler.java		default-organization	{startLine=1373.0, endLine=1373.0, startOffset=21.0, endOffset=27.0}	5min	AXMVa5MrkLspzIj1dA-u	36f2eb2a0e920631d84ea68be8fbf679	OPEN
MINOR	2020-07-03T17:57:05+0200		1374.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""_servletHolder""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/870/b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba/ServletHandler.java		default-organization	{startLine=1374.0, endLine=1374.0, startOffset=28.0, endOffset=42.0}	5min	AXMVa5MrkLspzIj1dA-v	513d44940ae58eaf57d642579af6422a	OPEN
MINOR	2020-07-03T17:57:05+0200		1375.0		java:S2039	Prova_Mining_Second_Part	5min	"Explicitly declare the visibility for ""_filter""."	2020-07-03T17:57:05+0200	VULNERABILITY		Prova_Mining_Second_Part:src/RepositoryMining19/870/b2f5416fcd923457e73a1cad3b94d6e3e7bf24ba/ServletHandler.java		default-organization	{startLine=1375.0, endLine=1375.0, startOffset=12.0, endOffset=19.0}	5min	AXMVa5MrkLspzIj1dA-w	cf32cd44b4226b415083b62be63a4a7e	OPEN
