severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	tags	component	flows	organization	textRange	debt	key	hash	status
MINOR	2020-07-02T22:38:45+0200		201.0		java:S2039	Prova_Mining	5min	"Explicitly declare the visibility for ""DEFAULT_USER_AGENT""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/499/08140864e3e4c0994e094c4cf0507932baf6a66/HttpClientBuilder.java		default-organization	{startLine=201.0, endLine=201.0, startOffset=24.0, endOffset=42.0}	5min	AXMRUd5oN9GdxjDXOWaS	098bf978a1b22a7099e428a45b154bad	OPEN
MINOR	2020-07-02T22:38:45+0200		400.0		java:S2384	Prova_Mining	5min	"Store a copy of ""defaultHeaders""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/499/08140864e3e4c0994e094c4cf0507932baf6a66/HttpClientBuilder.java		default-organization	{startLine=400.0, endLine=400.0, startOffset=30.0, endOffset=44.0}	5min	AXMRUd5oN9GdxjDXOWaR	21d4568dd2a5ff2aea62927a7f5f23f6	OPEN
MINOR	2020-07-02T22:38:45+0200		215.0		java:S2039	Prova_Mining	5min	"Explicitly declare the visibility for ""handshakeLock""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/500/2fa9400a59d0563a66908aba55c41e7285a04994/SslHandler.java		default-organization	{startLine=215.0, endLine=215.0, startOffset=17.0, endOffset=30.0}	5min	AXMRUd7dN9GdxjDXOWaT	7c2ff9383a105c14cfc9fc06f9ffb22f	OPEN
MINOR	2020-07-02T22:38:45+0200		234.0		java:S2039	Prova_Mining	5min	"Explicitly declare the visibility for ""ignoreClosedChannelException""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/500/2fa9400a59d0563a66908aba55c41e7285a04994/SslHandler.java		default-organization	{startLine=234.0, endLine=234.0, startOffset=8.0, endOffset=36.0}	5min	AXMRUd7dN9GdxjDXOWaU	cb8913bfbb4c5cd793676d39f1a9394c	OPEN
MINOR	2020-07-02T22:38:45+0200		235.0		java:S2039	Prova_Mining	5min	"Explicitly declare the visibility for ""ignoreClosedChannelExceptionLock""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/500/2fa9400a59d0563a66908aba55c41e7285a04994/SslHandler.java		default-organization	{startLine=235.0, endLine=235.0, startOffset=17.0, endOffset=49.0}	5min	AXMRUd7dN9GdxjDXOWaV	e1e3f4f9199b58e0b5fd35387273a6e4	OPEN
CRITICAL	2020-07-02T22:38:45+0200		740.0		java:S2658	Prova_Mining	45min	Remove this use of dynamic class loading.	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/500/2fa9400a59d0563a66908aba55c41e7285a04994/SslHandler.java		default-organization	{startLine=740.0, endLine=740.0, startOffset=65.0, endOffset=74.0}	45min	AXMRUd7dN9GdxjDXOWaW	57e58b3efb78c5cac3cf39786e3f69ad	OPEN
MINOR	2020-07-02T22:38:45+0200		1615.0		java:S2039	Prova_Mining	5min	"Explicitly declare the visibility for ""future""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/500/2fa9400a59d0563a66908aba55c41e7285a04994/SslHandler.java		default-organization	{startLine=1615.0, endLine=1615.0, startOffset=28.0, endOffset=34.0}	5min	AXMRUd7dN9GdxjDXOWaX	bf47f808f5e5e33aad7eb2b34e755ed1	OPEN
MINOR	2020-07-02T22:38:45+0200		1616.0		java:S2039	Prova_Mining	5min	"Explicitly declare the visibility for ""outAppBuf""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/500/2fa9400a59d0563a66908aba55c41e7285a04994/SslHandler.java		default-organization	{startLine=1616.0, endLine=1616.0, startOffset=25.0, endOffset=34.0}	5min	AXMRUd7dN9GdxjDXOWaY	765585d0b1f1234be054b09fbe764d75	OPEN
MINOR	2020-07-02T22:38:45+0200		1173.0		java:S2384	Prova_Mining	5min	"Return a copy of ""env""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/501/fb3569fbb9a2f55459aa8e1e22bc35a737e66329/CGIServlet.java		default-organization	{startLine=1173.0, endLine=1173.0, startOffset=19.0, endOffset=22.0}	5min	AXMRUeGzN9GdxjDXOWak	3a4e6043f646a5df872a6f0e0c99458d	OPEN
MINOR	2020-07-02T22:38:45+0200		1184.0		java:S2384	Prova_Mining	5min	"Return a copy of ""cmdLineParameters""."	2020-07-02T22:38:45+0200	VULNERABILITY		Prova_Mining:src/RepositoryMining11/501/fb3569fbb9a2f55459aa8e1e22bc35a737e66329/CGIServlet.java		default-organization	{startLine=1184.0, endLine=1184.0, startOffset=19.0, endOffset=36.0}	5min	AXMRUeGzN9GdxjDXOWal	a58837d8472174d53c5659dffdd3419e	OPEN
